date,hour,min,sec,pos_x,pos_y,pos_z,rot_x,rot_y
2019-01-16,11,39,15.5127,-2.6865,0.0263,2.6626,357.3844,185.5787
2019-01-16,11,39,15.5486,-2.6883,0.0209,2.6267,357.6741,185.4394
2019-01-16,11,39,15.5891,-2.6914,0.0135,2.5714,357.6154,185.1924
2019-01-16,11,39,15.6250,-2.6937,0.0169,2.5315,358.3380,185.0751
2019-01-16,11,39,15.6640,-2.6944,0.0201,2.4926,357.3576,185.2887
2019-01-16,11,39,15.7014,-2.6954,0.0299,2.4404,358.4672,185.8852
2019-01-16,11,39,15.7453,-2.6940,0.0376,2.4046,0.7951,185.9615
2019-01-16,11,39,15.7828,-2.6930,0.0505,2.3539,1.3714,186.1881
2019-01-16,11,39,15.8277,-2.6922,0.0584,2.3206,359.9239,185.7933
2019-01-16,11,39,15.8682,-2.6917,0.0620,2.2709,0.3851,185.4302
2019-01-16,11,39,15.9066,-2.6917,0.0600,2.2386,0.3444,185.1088
2019-01-16,11,39,15.9500,-2.6917,0.0559,2.2040,0.4786,185.0772
2019-01-16,11,39,15.9890,-2.6915,0.0489,2.1567,1.1223,185.1123
2019-01-16,11,39,16.0299,-2.6910,0.0414,2.1215,0.7626,185.3297
2019-01-16,11,39,16.0703,-2.6898,0.0300,2.0711,0.6299,185.7354
2019-01-16,11,39,16.1133,-2.6886,0.0208,2.0365,0.9168,186.1730
2019-01-16,11,39,16.1552,-2.6869,0.0113,1.9836,1.8285,186.8404
